matrix_dimension,decimal_places,||x_0 - x||,spectral_condition_number,volume_condition_number,angular_condition_number
2,2,0.0,2.090527217333316,1.0029127717424065,1.002912771742406
2,3,0.0,2.090527217333316,1.0029127717424065,1.002912771742406
2,4,0.0,2.090527217333316,1.0029127717424065,1.002912771742406
2,5,0.0,2.090527217333316,1.0029127717424065,1.002912771742406
2,6,0.0,2.090527217333316,1.0029127717424065,1.002912771742406
2,7,0.0,2.090527217333316,1.0029127717424065,1.002912771742406
3,2,2.220446049250313e-16,3.6702568438987884,1.083282326473263,1.083255716449108
3,3,2.220446049250313e-16,3.6702568438987884,1.083282326473263,1.083255716449108
3,4,2.220446049250313e-16,3.6702568438987884,1.083282326473263,1.083255716449108
3,5,2.220446049250313e-16,3.6702568438987884,1.083282326473263,1.083255716449108
3,6,2.220446049250313e-16,3.6702568438987884,1.083282326473263,1.083255716449108
3,7,2.220446049250313e-16,3.6702568438987884,1.083282326473263,1.083255716449108
4,2,5.768888059150692e-16,37.43215390743582,5.876144435705841,5.727255816444449
4,3,5.768888059150692e-16,37.43215390743582,5.876144435705841,5.727255816444449
4,4,5.768888059150692e-16,37.43215390743582,5.876144435705841,5.727255816444449
4,5,5.768888059150692e-16,37.43215390743582,5.876144435705841,5.727255816444449
4,6,5.768888059150692e-16,37.43215390743582,5.876144435705841,5.727255816444449
4,7,5.768888059150692e-16,37.43215390743582,5.876144435705841,5.727255816444449
5,2,5.661048867003676e-16,76.88982843412353,24.391273533782357,14.521385916765562
5,3,5.661048867003676e-16,76.88982843412353,24.391273533782357,14.521385916765562
5,4,5.661048867003676e-16,76.88982843412353,24.391273533782357,14.521385916765562
5,5,5.661048867003676e-16,76.88982843412353,24.391273533782357,14.521385916765562
5,6,5.661048867003676e-16,76.88982843412353,24.391273533782357,14.521385916765562
5,7,5.661048867003676e-16,76.88982843412353,24.391273533782357,14.521385916765562
6,2,6.473657049138938e-16,32.80027856472663,19.82564974939648,8.824103925882955
6,3,6.473657049138938e-16,32.80027856472663,19.82564974939648,8.824103925882955
6,4,6.473657049138938e-16,32.80027856472663,19.82564974939648,8.824103925882955
6,5,6.473657049138938e-16,32.80027856472663,19.82564974939648,8.824103925882955
6,6,6.473657049138938e-16,32.80027856472663,19.82564974939648,8.824103925882955
6,7,6.473657049138938e-16,32.80027856472663,19.82564974939648,8.824103925882955
7,2,4.440892098500626e-16,20.198714724180626,3.4983124509348236,1.842253080231802
7,3,4.440892098500626e-16,20.198714724180626,3.4983124509348236,1.842253080231802
7,4,4.440892098500626e-16,20.198714724180626,3.4983124509348236,1.842253080231802
7,5,4.440892098500626e-16,20.198714724180626,3.4983124509348236,1.842253080231802
7,6,4.440892098500626e-16,20.198714724180626,3.4983124509348236,1.842253080231802
7,7,4.440892098500626e-16,20.198714724180626,3.4983124509348236,1.842253080231802
