matrix_dimension,alpha,||x - x_reg||,spectral_condition_number,volume_condition_number,angular_condition_number,best_alpha,best_alpha_check
20,0.1,1.2787269375157737,88.66505951677547,217536561.8992301,6.54724742200037,1e-15,True
20,0.03162277660168379,1.2260461447017572,259.8288868125891,1.3688826314216888e+16,17.55635018397178,1e-15,True
20,0.01,1.18659730010104,796.2134209161484,2.30482929928366e+24,49.80790273689299,1e-15,True
20,0.0031622776601683794,1.1459376618123758,2468.4189365859875,2.9749858447073522e+32,152.17250262304415,1e-15,True
20,0.001,1.104225977327295,7674.463818948364,2.3495102308274844e+40,455.5465950666282,1e-15,True
20,0.00031622776601683794,1.0744114343708286,23895.666725100218,1.0901173087750985e+48,1327.285657157839,1e-15,True
20,0.0001,1.058579838144708,74388.37749493367,2.995602570754939e+55,3916.7081285145164,1e-15,True
20,3.1622776601683795e-05,1.0499979597082176,231668.49431693144,4.9031532506221395e+62,12157.97282916229,1e-15,True
20,1e-05,1.0456006492519063,721427.0674883362,4.8698077768128766e+69,37090.21632956567,1e-15,True
20,3.162277660168379e-06,1.0403869669149213,2245220.0770726656,2.963915932935264e+76,111012.10389411893,1e-15,True
20,1e-06,1.0302589748581228,6994477.609669318,1.1161248408252797e+83,325553.57810954185,1e-15,True
20,3.162277660168379e-07,1.0155921766979743,21752659.82449342,2.6526766725026886e+89,1019817.7633522028,1e-15,True
20,1e-07,1.0033906783122937,67733636.38683684,3.962525940132271e+95,3163762.222507574,1e-15,True
20,3.162277660168379e-08,0.9928175147759938,210771262.70712036,3.8113666956667936e+101,9602287.570055319,1e-15,True
20,1e-08,0.9777053177031169,655023299.159724,2.3657795770252417e+107,28610993.535650536,1e-15,True
20,3.1622776601683795e-09,0.9510010972195521,2039921201.0065496,9.484326126826502e+112,87533886.77350564,1e-15,True
20,1e-09,0.9067561284551611,6336986711.054828,2.527173097194529e+118,273822706.04736704,1e-15,True
20,3.1622776601683795e-10,0.8646683071862105,19687115704.608833,4.4142997398254566e+123,850183356.0982326,1e-15,True
20,1e-10,0.8403345310209338,61283658741.578285,5.11805327542294e+128,2585216890.6054173,1e-15,True
20,3.1622776601683794e-11,0.8210246114203708,190051330526.97974,4.0423168330081713e+133,7737201509.927105,1e-15,True
20,1e-11,0.8067758605544344,590040547850.6537,2.1245202646359998e+138,24223028546.80098,1e-15,True
20,3.1622776601683794e-12,0.7997978730789924,1835655627559.888,7.581711542233133e+142,75262467248.56679,1e-15,True
20,1e-12,0.7944947299333855,5683216431132.018,1.8855948507565795e+147,230786828219.11462,1e-15,True
20,3.162277660168379e-13,0.7894484370883904,17616630014917.383,3.169579306704634e+151,702687053752.1344,1e-15,True
20,1e-13,0.7827960578193939,54782433720357.03,3.6713996931538117e+155,2146997827957.6987,1e-15,True
20,3.1622776601683796e-14,0.7711883035132727,169398474883126.03,3.0376763656618933e+159,6734751965574.74,1e-15,True
20,1e-14,0.7632901450749716,523633189787408.6,1.732981746118644e+163,21021962295338.684,1e-15,True
20,3.1622776601683794e-15,0.7446482299248103,1625404093335318.8,6.795325058147729e+166,64525490380049.24,1e-15,True
20,1e-15,0.6878935174114987,5042417465701164.0,1.9756484587560656e+170,192960596890949.84,1e-15,True
20,3.1622776601683793e-16,0.9487533979092992,1.5361990399755106e+16,3.8231331574827234e+173,601985527007435.1,1e-15,True
20,1e-16,2.8487837824445155,4.91372727639869e+16,6.502657786111581e+176,1962575043753727.5,1e-15,True
20,3.1622776601683796e-17,9.009013372926987,1.4200486212855677e+17,2.7240883499757803e+179,6674632110560902.0,1e-15,True
20,1e-17,nan,5.911982343153308e+18,2.501798529001791e+185,4.358620582651596e+17,1e-15,True
20,3.1622776601683795e-18,22.101988665665115,1.8527928799073846e+18,9.724919379445552e+183,8.68113213763476e+16,1e-15,True
